ID,Nombre,Inteligencia,Fuerza,Velocidad,Durabilidad,Potencia,Combate,Genero,Etnia,Altura,Peso,Color_Ojos,Color_Pelo,Nombre Completo,Alias,Lugar de nacimiento,Primera aparición,Editor,Alineación
265,Flash II,88,48,100,60,100,60,Male,Black Racer,183 cm,88 kg,Blue,Blond,Barry Allen,"The Scarlet Speedster, the Fastest Man Alive, the Monarch of Motion, the Sultan of Speed","Fallville, Iowa","Showcase #4 (October, 1956)",Black Racer,good
266,Flash III,63,10,100,60,100,32,Male,Human,183 cm,86 kg,-,-,Wally West,"The Fastest Man Alive, The Scarlet Speedster; formerly, Kid Flash I","Blue Valley, Nebraska","Flash #110 (January, 1960)",Speed Demon,good
267,Flash IV,63,10,100,32,100,48,Male,Human,157 cm,52 kg,Yellow,Auburn,Bartholomew Allen II,"Impulse, Kid Flash II",-,(as Impulse) Flash v.2 #91 (June 1994)* (as Kid Flash) Teen Titans v.3 #4 (December 2003),Impulse,good
268,Forge,63,10,12,28,25,48,-,null,183 cm,81 kg,Brown,Black,,"The Maker, Cheyenne","Unrevealed, presumably in the American West",Uncanny X-Men #184,Marvel Comics,good
269,Franklin Richards,63,80,50,60,100,50,Male,Mutant,142 cm,45 kg,Blue,Blond,Franklin  Richards,"Franklin Benjamin, Tattletale, Psi-Lord, Ego-Spawn, Avatar","New York, New York",Fantastic Four Annual #6,Marvel Comics,good
270,Franklin Storm,38,10,1,1,0,10,-,null,188 cm,92 kg,Blue,Grey,Dr. Franklin Storm,Franklin Storm was erroneously believed to be the first Invincible Man,Place of birth unknown,FANTASTIC FOUR #31,Marvel Comics,good
271,Frenzy,63,53,35,100,38,52,Female,null,211 cm,104 kg,Brown,Black,Joanna Cargill,-,-,X-Factor Vol 1 #4,Marvel Comics,bad
272,Frigga,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,180 cm,167 kg,Blue,White,Frigga,Fricka,Place of birth unknown,JOURNEY INTO MYSTERY #92,Marvel Comics,good
273,Galactus,100,100,83,100,100,50,Male,Cosmic Entity,876 cm,16 tons,Black,Black,Galan,"Maker, Devourer of Worlds, Eater-of-Worlds, Ravager of Worlds",(Galan) Taa; (Galactus) the Cosmic Egg,Fantastic Four #48 (March 1966),Marvel Comics,neutral
274,Gambit,63,10,23,28,55,84,Male,Mutant,185 cm,81 kg,Red,Brown,Remy Etienne LeBeau,"Death, Le Diable Blanc, formerly Robert Lord, Cajun","New Orleans, Louisiana","(as Gambit) Uncanny X-Men #266 (1990), (as Death) X-Men #184 (2006)",Marvel Comics,good
275,Gamora,75,85,42,85,53,100,Female,Zen-Whoberian,183 cm,77 kg,Yellow,Black,Gamora Zen Whoberi Ben Titan,"The Deadliest Woman In The Universe, The Most Dangerous Woman in the Galaxy","Planet Zen Whoberi, Silican System, Milky Way","Strange Tales #180 (June, 1975)",Marvel Comics,good
276,Garbage Man,Sin dato,82,Sin dato,Sin dato,Sin dato,Sin dato,Male,Mutant,0 cm,0 kg,-,-,Richard Ethan Morse,Richard Morse,-,Weird Worlds #1 (2011),DC Comics,good
277,Gary Bell,63,5,8,10,54,10,Male,Alpha,0 cm,0 kg,-,-,Gary Bell,-,-,-,SyFy,good
278,General Zod,94,100,96,100,100,95,Male,Kryptonian,0 cm,0 kg,Black,Black,Dru-Zod,Dru-Zod (possible first name),Krypton,Action Comics #845,DC Comics,bad
279,Genesis,Sin dato,68,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,185 cm,86 kg,Blue,Blond,Tyler Dayspring,Tolliver,-,"As Tolliver, mentioned) New Mutants #98 (1991), (as Tolliver, seen) X-Force #5 (1991), (as Genesis) Cable #18 (1994)",Marvel Comics,good
280,Ghost Rider,50,55,25,100,100,60,Male,Demon,188 cm,99 kg,Red,No Hair,Johnny Blaze,-,"Waukegan, Illinois","Marvel Spotlight #5 (August, 1972)",Marvel Comics,good
281,Ghost Rider II,Sin dato,70,Sin dato,Sin dato,Sin dato,Sin dato,-,null,0 cm,0 kg,-,-,Daniel Ketch,-,-,Ghost Rider Vol. 2 #1,Marvel Comics,good
282,Giant-Man,Sin dato,78,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,-,-,Hank Pym,-,-,-,Ant-Man,good
283,Giant-Man II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
284,Giganta,81,89,23,85,32,42,Female,null,62.5 meters,630 kg,Green,Red,Doris Zuel,-,-,Wonder Woman (Volume 1) #9 (1944),DC Comics,bad
285,Gladiator,50,100,100,100,77,70,Male,Strontian,198 cm,268 kg,Blue,Blue,Kallark,"Majestor, Praetor, Captain Universe",-,"X-Men Vol 1 #107 October, 1977",Marvel Comics,neutral
286,Goblin Queen,75,10,23,28,65,56,Female,null,168 cm,50 kg,Green,Red,Madelyne Jennifer Pryor,"Anodyne, Maddie, Lyne, Red, Madelyne Pryor-Summers","Created in Sinister's Labs, Nebraska",Uncanny X-Men #168,Marvel Comics,bad
287,Godzilla,44,100,54,100,100,20,-,Kaiju,108.0 meters,"90,000 tons",-,-,Gojira,"Legendary Godzilla, King of the Monsters, Gigantis, Monster Zero-One, God of Destruction, Alpha Predator",-,Godzilla (1954),,bad
288,Gog,50,34,47,72,39,56,Male,null,0 cm,0 kg,-,-,,"Nephut-Sha, Hassan Kareem",-,Incredible Hulk #257 (1981),DC Comics,bad
289,Goku,56,100,75,90,100,100,Male,Saiyan,175 cm,62 kg,-,-,Kakarot,"Ultimate Defender, Sayain Monkey, Super Sayain, Z-Fighter, Son-Goku, Lower-Class Sayain, Goku Son",-,Dragon Ball #1,Shueisha,good
290,Goliath,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Erik Josten,-,-,-,Atlas,good
291,Goliath,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,-,-,Clint Barton,-,-,-,Hawkeye,good
292,Goliath,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,-,-,Hank Pym,Hank Pym,-,-,Ant-Man,good
293,Goliath IV,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,183 cm,90 kg,Brown,Black,William Barrett Foster,"Giant-Man, Black Goliath","Watts, Los Angeles, California","(As Foster) Avengers #32 (1966); (as Black Goliath) Luke Cage, Power Man #24 (1975); (as Giant-Man) Marvel Two-in-One #55 (1979); (as Goliath) Thing #1 (2006)",Marvel Comics,good
294,Gorilla Grodd,81,53,33,70,100,65,Male,Gorilla,198 cm,270 kg,Yellow,Black,Grodd,"William Dawson, King Grodd, Gorilla Grodd, Grodd-Son",-,"Flash #106 (May, 1959)",DC Comics,bad
295,Granny Goodness,Sin dato,96,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,178 cm,115 kg,Blue,White,,Athena,Apokolips,-,DC Comics,bad
296,Gravity,50,32,33,40,69,30,Male,Human,178 cm,79 kg,Blue,Brown,Greg Willis,Protector of the Universe,"Sheboygan, Wisconsin","Gravity #1 (August, 2005)",Marvel Comics,good
297,Greedo,38,10,13,15,31,40,Male,Rodian,170 cm,0 kg,Purple,-,Greedo,-,Rodia,-,George Lucas,bad
298,Green Arrow,81,12,35,28,39,90,Male,Human,188 cm,88 kg,Green,Blond,Oliver Queen,"The Emerald Archer, Battling Bowman",-,More Fun Comics #73 (November 1941),DC Comics,good
299,Green Goblin,100,48,38,60,48,50,Male,Human,180 cm,83 kg,Blue,Auburn,Norman Osborn,"Normie, Green Goblin, Goblin Lord, Overlord, the Goblin, ""Gobby"", Scrier, Commander Osborn, Director Osborn, Iron Patriot","Hartford, Connecticut","Amazing Spider-Man #14 (July, 1964)",Marvel Comics,bad
300,Green Goblin II,75,55,37,50,44,26,Male,null,178 cm,77 kg,Blue,Auburn,Harold Osborn,-,New York City,Amzing Spide-Man #31,Marvel Comics,bad
301,Green Goblin III,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,183 cm,88 kg,-,-,Barton Hamilton,-,-,As Dr. Barton Hamilton in Amazing Spider-Man #167 as Green Goblin III in Amazing Spider-Man #176,Marvel Comics,good
302,Green Goblin IV,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,178 cm,79 kg,Green,Brown,Phillip Benjamin Urich,-,-,(As Urich) Web of Spider-Man #125 (1995); (as Green Goblin) Green Goblin #1 (1995),Marvel Comics,good
303,Groot,75,85,33,70,100,64,Male,Flora Colossus,701 cm,4 tons,Yellow,-,Groot,"The Monster from Planet X; His Divine Majesty King Groot the 23rd, Monarch of Planet X, custodian of the branch worlds, ruler of all the shades, Flora colossus Information-silk",-,"Tales to Astonish #13 (November, 1960)",Marvel Comics,good
304,Guardian,Sin dato,45,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,Brown,Black,James Hudson,"Weapon Alpha, Antiguard, Vindicator, Mac, Jimmy","London, Ontario, Canada",X-Men Vol.1  #109 (as Weapon Alpha),Marvel Comics,good
305,Guy Gardner,38,90,53,64,100,64,Male,Human-Vuldarian,188 cm,95 kg,Blue,Red,Guy Gardner,"Green Lantern, Red Lantern, Warrior","Baltimore, Maryland",Green Lantern Vol 2 #59,DC Comics,good
306,Hal Jordan,69,90,75,80,100,70,Male,Human,188 cm,90 kg,Brown,Brown,Hal Jordan,"Parallax, Spectre, Green Lantern","Coast City, California",Showcase #22,DC Comics,good
307,Han Solo,50,10,17,20,43,60,Male,Human,183 cm,79 kg,Brown,Brown,Han Solo,-,Corellia,Star Wars: Episode IV - A New Hope (1977),George Lucas,good
308,Hancock,63,90,67,100,100,50,Male,Human,188 cm,0 kg,Brown,Black,John Hancock,-,-,-,Sony Pictures,good
309,Harley Quinn,88,12,33,65,55,80,Female,Human,170 cm,63 kg,Blue,Blond,Harley Quinn,"Harleen Quinzel, Harl, Cupid of Crime, Jane Wisakedjak, Elise Archer, Pumpkin Pooh",-,"Batman: Harley Quinn (October, 1999)",DC Comics,bad
310,Harry Potter,75,7,21,10,100,50,Male,Human,0 cm,0 kg,Green,Black,Harry James Potter,"Triwizard Champion, Seeker, Quidditch Captain, Leader of Dumbledore's Army, Master of Death",-,Harry Potter and the Philosopher's Stone,J. K. Rowling,good
311,Havok,63,10,25,60,71,45,Male,Mutant,183 cm,79 kg,Blue,Blond,Alexander Summers,"Mutant X, Goblin Prince","Honolulu, Hawaii",X-MEN #58,Marvel Comics,good
312,Hawk,38,38,35,95,43,42,Male,null,185 cm,89 kg,Red,Brown,Henry Hall,"Monarch, Extant",-,"Showcase #75 (June, 1968)",DC Comics,good
313,Hawkeye,56,12,21,10,29,80,Male,Human,191 cm,104 kg,Blue,Blond,Clint Barton,"Ronin, Goliath, Golden Archer, the Marksman, Father Time, Longbow","Waverly, Iowa","Tales of Suspense #57 (September, 1964)",Goliath,good
314,Hawkeye II,50,6,8,10,24,50,Female,Human,165 cm,57 kg,Blue,Black,Katherine Elizabeth Bishop,Kate Bishop,"New York City, New York","Young Avengers #1 (April, 2005)",Marvel Comics,good
315,Hawkgirl,50,28,53,99,96,72,Female,null,175 cm,61 kg,Green,Red,Kendra Saunders,"Chay-Ara; Sheila Carr; Lady Celia Penbrook, Kate Manser; Shiera Sanders",-,JSA Secret Files #1 (August 1999),DC Comics,good
316,Hawkman,Sin dato,66,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,185 cm,88 kg,Blue,Brown,Carter Hall,-,-,FLASH COMICS #1 (January 1940),DC Comics,good
317,Hawkwoman,Sin dato,96,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,175 cm,54 kg,Green,Red,Shayera Hol,"Shayera Hall, Hawkgirl",-,The Brave and the Bold #34 (February-March 1961),DC Comics,good
318,Hawkwoman II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Sharon Parker,-,-,-,DC Comics,good
319,Hawkwoman III,Sin dato,92,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,170 cm,65 kg,Blue,Red,Shayera Thal,-,-,-,DC Comics,good
320,Heat Wave,38,10,17,45,27,30,Male,Human,180 cm,81 kg,Blue,No Hair,Mick Rory,Rory Calhoun,-,"Flash #140 (November, 1963)",DC Comics,bad
321,Hela,63,100,46,100,100,45,Female,Asgardian,213 cm,225 kg,Green,Black,,Goddess of Death,-,Journey into Mystery #102,Marvel Comics,bad
322,Hellboy,63,53,21,95,73,75,Male,Demon,259 cm,158 kg,Gold,Black,Anung Un Rama,"World Destroyer, The Great Beast",-,"Dime Press #4 (May 1, 1993)",Dark Horse Comics,good
323,Hellcat,63,11,33,45,46,70,Female,Human,173 cm,61 kg,Blue,Red,Patricia Walker,"Patsy Walker, Patricia Hellstrom, The Cat","Centerville, CA USA","Avengers #144 (February, 1976)",Marvel Comics,good
324,Hellstorm,Sin dato,56,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,185 cm,81 kg,Red,Red,Daimon Hellstrom,"Antichrist, Black Halo, the Devil, King of Hell, Prince of Lies, Satan, Son of Satan.","Greentown, Massachusetts",(as Hellstorm) West Coast Avengers (second series) #14,Marvel Comics,good
325,Hercules,63,100,46,85,89,100,Male,Demi-God,196 cm,146 kg,Blue,Brown,Heracles,"Spider-Herc, The Lion of Olympus, The Defender of Olympus, The Scion of Olympus, Prince of Power, Alcaeus, Herakles, Herc, Harry Cleese, Victor Tegler, Agent 74","Thebes, Greece",-,Marvel Comics,good
326,Hiro Nakamura,Sin dato,15,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Hiro Nakamura,"Jotaro Kujo, Takezo Kensei","Tokyo, Japan",-,NBC - Heroes,good
327,Hit-Girl,56,7,29,20,27,65,Female,Human,0 cm,0 kg,-,-,Mindy McCready,"Hit Girl, Hitgirl",-,-,Icon Comics,good
328,Hobgoblin,Sin dato,53,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,180 cm,83 kg,Blue,Grey,Roderick Kingsley,-,-,-,Marvel Comics,bad
329,Hollow,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,170 cm,0 kg,Blue,Red,Monet St. Croix,"Penace, M, Monet St. Croix, Penny, Yvette",-,Generation X #1 (1994),Marvel Comics,good
330,Hope Summers,63,10,12,32,93,75,Female,null,168 cm,48 kg,Green,Red,Hope Summers,"Mutant Messiah, Messiah Child, Hub, Throat Slicer, Little Girl, Little Momma",-,X-Men Vol 2 #205 (2008),Marvel Comics,good
331,Howard the Duck,Sin dato,44,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,79 cm,18 kg,Brown,Yellow,Howard (Last name unrevealed),"Duckman, Iron Duck, Pondhopper, Shang-Op, Cheap Ducktective, Duckboy, Dark Mallard of the Night","New Stork, New Stork, Duckworld",FEAR #19,Marvel Comics,good
332,Hulk,88,100,63,100,98,85,Male,Human / Radiation,244 cm,630 kg,Green,Green,Bruce Banner,"Annihilator, Captain Universe, Joe Fixit, Mr. Fixit, Mechano, Professor, Jade Jaws, Golly Green Giant","Dayton, Ohio","Incredible Hulk #1 (May, 1962)",Marvel Comics,good
333,Human Torch,63,11,63,70,87,42,Male,Human / Radiation,178 cm,77 kg,Blue,Blond,Johnny Storm,"Matchstick Johnny, Doug Brown","Glenville, Long Island, New York",Fantastic Four #1 (1961),Marvel Comics,good
334,Huntress,69,10,23,28,34,95,Female,null,180 cm,59 kg,Blue,Black,Helena Rosa Bertinelli,"Batgirl, Sicilian, Mafia Princess",-,Huntress #1 (April 1989),Batgirl III,good
335,Husk,63,63,35,78,48,64,Female,Mutant,170 cm,58 kg,Blue,Blond,Paige Elisabeth Guthrie,Hayseed,"Cumberland, Kentucky","Rom Annual #3 (November, 1984)",Marvel Comics,good
336,Hybrid,63,63,58,75,100,80,Male,Symbiote,175 cm,77 kg,Brown,Black,Scott Washington,"Guardsman Number Six, Terror of Brooklyn, Riot ,Phage , Lasher, Agony","Bedford-Stuyvesant, Brooklyn, New York City",Venom Along Came A Spider #2 (as Hybrid),Marvel Comics,good
337,Hydro-Man,38,13,25,80,66,50,Male,null,188 cm,119 kg,Brown,Brown,Morris Bench,Morrie,"Bronx, New York","Amazing Spider-Man #212 (January, 1981)",Marvel Comics,bad
338,Hyperion,88,100,100,95,87,80,Male,Eternal,183 cm,207 kg,Blue,Red,Mark Milton,"Mark Milton, Zhib-Ran, Mr. Kant, Marcus Milton",-,Avengers #85,Marvel Comics,good
339,Iceman,63,32,53,100,100,64,Male,Mutant,173 cm,65 kg,Brown,Brown,Bobby Drake,"Bobby Drake, Mister Friese, Drake Roberts, Rampage, Frozen One, Iceface","Fort Washington, Long Island, New York",X-Men #1,Marvel Comics,good
340,Impulse,50,10,100,60,74,60,Male,Human,170 cm,65 kg,Yellow,Auburn,Bartholomew Allen II,"Flash IV, Kid Flash II",-,"Flash Vol 2 #92 (July, 1994)",Flash IV,good
341,Indiana Jones,69,10,17,30,19,30,Male,Human,183 cm,79 kg,-,-,Indiana Jones,Indy,"Princeton, New Jersey",Raiders of the Lost Ark (1981),George Lucas,good
342,Indigo,75,63,50,50,100,50,Female,Alien,0 cm,0 kg,-,Purple,Iroque,Indigo-1,-,"Green Lantern Vol 4 #25 (January, 2008)",DC Comics,neutral
343,Ink,38,28,17,40,73,50,Male,Mutant,180 cm,81 kg,Blue,No Hair,Eric Gitter,-,-,"Young X-Men #1 (May, 2008)",Marvel Comics,good
344,Invisible Woman,88,10,27,85,93,56,Female,Human / Radiation,168 cm,54 kg,blue,Blond,Susan Storm Richards,Invisible Girl,"Glenville, Long Island, New York",FANTASTIC FOUR #1,Marvel Comics,good
345,Iron Fist,75,55,33,50,95,100,Male,Human,180 cm,79 kg,Blue,Blond,Danny Rand,"Daredevil, Daniel Thomas Rand, the Living Weapon, Young Dragon, Danny Rand",-,Marvel Premiere #15 (May 1974),Marvel Comics,good
346,Iron Man,100,85,58,85,100,64,Male,Human,198 cm,191 kg,Blue,Black,Tony Stark,"Iron Knight, Hogan Potts, Spare Parts Man, Cobalt Man II, Crimson Dynamo, Ironman","Long Island, New York","Tales of Suspence #39 (March, 1963)",Marvel Comics,good
347,Iron Monger,88,63,25,90,57,56,Male,null,0 cm,2 tons,Blue,No Hair,Obadiah Stane,-,-,-,Marvel Comics,bad
348,Isis,75,48,75,46,50,56,Female,null,0 cm,0 kg,-,-,Adrianna Tomaz,-,-,(as Adrianna) 52 Week Three; (as Isis) 52 Week Twelve,DC Comics,good
349,Jack Bauer,Sin dato,43,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Kiefer Sutherland,-,"Enola, Pennsylvania",24: Season 1,null,good
350,Jack of Hearts,63,55,100,30,77,30,Male,Human,155 cm,79 kg,Blue / White,Brown,Jonathan Hart,-,"New Haven, Connecticut","Deadly Hands of Kung Fu #22 (March, 1976)",Marvel Comics,good
351,Jack-Jack,6,34,67,80,100,6,Male,Human,71 cm,14 kg,Blue,Brown,Jack-Jack Parr,-,-,"The Incredibles (Movie, 2004)",Dark Horse Comics,good
352,James Bond,88,13,17,35,25,90,Male,Human,183 cm,0 kg,blue,Blond,James Bond,"007, Commander Bond",-,"Casino Royale, 1953 novel",Titan Books,good
353,James T. Kirk,69,11,17,30,30,75,Male,Human,178 cm,77 kg,Hazel,Brown,James T. Kirk,"Jim, Captain Kirk","Riverside, Iowa, Earth",Star Trek S01E01: The Man Trap,Star Trek,good
354,Jar Jar Binks,10,6,33,10,21,15,Male,Gungan,193 cm,0 kg,Yellow,-,Jar Jar Binks,-,Naboo,-,George Lucas,good
355,Jason Bourne,88,12,29,30,26,100,Male,Human,0 cm,0 kg,-,-,Jason Bourne,-,-,-,null,good
356,Jean Grey,94,80,21,20,92,70,Female,Mutant,168 cm,52 kg,Green,Red,Jean Grey,"Redd Dayspring, Marvel Girl",-,"X-Men #1 (September, 1963)",Phoenix,good
357,Jean-Luc Picard,75,10,17,30,26,65,Male,Human,0 cm,0 kg,-,-,Jean-Luc Picard,Locutus,"La Barre, France, Earth",Star Trek: The Next Generation (1987),Star Trek,good
358,Jennifer Kale,75,10,35,42,74,72,Female,null,168 cm,55 kg,Blue,Blond,Jennifer Kale,Wendy the Good Little Witch,"Citrusville, Florida",(Adventures into) Fear#11 (1972),Marvel Comics,good
359,Jesse Quick,Sin dato,42,Sin dato,Sin dato,Sin dato,Sin dato,Female,Human,0 cm,0 kg,-,-,Jesse Chambers,-,-,-,Liberty Belle II,good
360,Jessica Cruz,56,90,46,50,100,55,Female,Human,0 cm,0 kg,Green,Brown,Jessica Cruz,"Green Lantern, Power Ring",-,"Green Lantern Vol 5 #20 (July, 2013)",DC Comics,good
361,Jessica Jones,56,44,50,70,18,55,Female,Human,170 cm,56 kg,Brown,Brown,Jessica Campbell Jones Cage,"Knightress, Madeline, Jewel, Power Woman","Forrest Hills, New York City","Amazing Spider-Man #4 (September, 1963)",Power Woman,good
362,Jessica Sanders,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,NBC - Heroes,good
363,Jigsaw,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,188 cm,113 kg,Blue,Black,Billy Russo,"Billy the Beaut, Jigsaw Punisher",-,Amazing Spider-Man #162 (Nov. 1976),Marvel Comics,bad
364,Jim Powell,38,38,23,80,23,20,Male,null,0 cm,0 kg,-,-,Jim Powell,-,-,No Ordinary Family S01E01 (2010),ABC Studios,good
365,JJ Powell,88,10,8,10,14,10,Male,null,0 cm,0 kg,-,-,JJ Powell,-,-,No Ordinary Family S01E01 (2010),ABC Studios,good
366,Johann Krauss,Sin dato,30,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Johann Krauss,-,-,B.P.R.D. - Hollow Earth and Other Stories (2003),Dark Horse Comics,good
367,John Constantine,63,10,8,40,54,65,Male,Human,183 cm,0 kg,Blue,Blond,John Constantine,Hellblazer,-,"Swamp Thing Vol 2 #37 (June, 1985)",DC Comics,good
368,John Stewart,56,85,42,64,100,65,Male,Human,185 cm,90 kg,Green,Black,John Stewart,Green Lantern,-,Green Lantern Vol 2 #87,DC Comics,good
369,John Wraith,75,12,35,28,87,80,Male,null,183 cm,88 kg,Brown,Black,John Wraith,"Wraith-Man, Kestrel, Expediter, Guardian, Vindicator",-,"Wolverine Vol 2 #60 (September, 1992)",Marvel Comics,good
370,Joker,100,10,12,60,43,70,Male,Human,196 cm,86 kg,Green,Green,Jack Napier,"Red Hood I, Clown Prince of Crime, Harlequin of Hate, Jack Napier, Joe Kerr, Mr. J",-,Batman #1 (Spring 1940),DC Comics,bad
371,Jolt,63,12,27,32,31,42,Female,null,165 cm,49 kg,Blue,Black,Helen Takahama,"Holly Tsuruta, Hallie Shimosato","Ojai, California",Thunderbolts #1 (1997),Marvel Comics,good
372,Jubilee,56,8,22,20,66,90,Female,Mutant,165 cm,52 kg,Red,Black,Jubilation Lee,Jubes,"Beverly Hills, California","Uncanny X-Men #244 (May, 1989)",Marvel Comics,good
373,Judge Dredd,75,18,38,50,52,95,Male,Human,188 cm,0 kg,-,-,Joseph Dredd,"The Dead Man, Joe",Mega City One,2000 AD no. 2 (5 March 1977),Rebellion,good
374,Juggernaut,44,100,42,100,85,70,Male,Human,287 cm,855 kg,Blue,Red,Cain Marko,"Kuurth, Captain Universe","Berkeley, California","X-Men #12 (July, 1965)",Marvel Comics,neutral
375,Junkpile,50,38,17,90,81,30,Male,Mutant,0 cm,0 kg,-,-,,-,-,"X-Men 2099 #1 (October, 1993)",Marvel Comics,bad
376,Justice,50,10,33,70,55,30,Male,Human,178 cm,81 kg,Hazel,Brown,Vance Astrovik,"Marvel Boy, Manglin' John Mahoney, Astounding Astrovik, Superhuman Penitentiary Prisoner 344678, ""Super Tights""",-,"Giant-Size Defenders #5 (July, 1975)",Marvel Comics,good
377,Jyn Erso,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,Human,0 cm,0 kg,Green,Brown,Jyn Erso,-,-,Star Wars : Rogue One (2016),George Lucas,good
378,K-2SO,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Android,213 cm,0 kg,White,No Hair,,"Kaytoo Esso, Kay-Tuesso",Galactic Empire,Rogue One: A Star Wars Story (2016),George Lucas,good
379,Kang,100,48,58,70,100,70,Male,null,191 cm,104 kg,Brown,Brown,Nathaniel Richards,"Blue Man, Victor Timely, Blue Totem, Scarlet Centurion, Rama-Tut, King of Kings, Master of Men, Lord of the Seven Suns","Other Earth, 31st century",(As Rama-Tut) Fantastic Four #19 (1963); (as Kang) Avengers #8 (1964),Iron Lad,bad
380,Kathryn Janeway,75,8,21,25,21,50,Female,Human,0 cm,0 kg,-,-,Kathryn Janeway,-,"Bloomington, Indiana, Earth",-,Star Trek,good
381,Katniss Everdeen,56,8,21,25,24,55,Female,Human,0 cm,0 kg,-,-,Katniss Everdeen,-,-,-,,good
382,Kevin 11,25,7,12,14,100,40,Male,Human,0 cm,0 kg,-,Black,Kevin Ethan Levin,"Kevin 11,000, Curtis, Osmosian, Kev, Kevin Ethan, Levin, Ultimate Kevin, Doofus, An Empty Shell, Kevin E. Levin",-,Ben 10 S01,DC Comics,good
383,Kick-Ass,38,10,23,35,22,56,Male,Human,0 cm,0 kg,Blue,Blond,Dave Lizewski,Kickass,New York City,Kick Ass #1,Icon Comics,good
384,Kid Flash,25,4,92,42,20,30,Male,Human,0 cm,0 kg,Green,Red,Wallace Rudolph West,Kid Lantern,"Blue Valley, Nebraska","Flash #110 (January, 1960)",DC Comics,good
385,Kid Flash II,Sin dato,47,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Bartholomew Allen II,-,-,-,Flash IV,good
386,Killer Croc,19,53,35,90,53,60,Male,Metahuman,244 cm,356 kg,Red,No Hair,Waylon Jones,-,-,"Batman #357 (March, 1983)",DC Comics,bad
387,Killer Frost,88,10,13,35,59,30,Female,Human,0 cm,0 kg,Blue,Blond,Caitlin Snow,-,-,Fury of Firestorm: The Nuclear Men #19,DC Comics,bad
388,Kilowog,81,90,53,42,100,80,Male,Bolovaxian,234 cm,324 kg,Red,No Hair,,"Kilo Wog, Green Lantern 674.1, Dark Lantern, The Green Lantern drill sergeant, ""Poozer"", Lantern",Bolovax Vik,"Green Lantern Corps #201 (June, 1986)",DC Comics,good
389,King Kong,56,100,71,75,47,75,Male,Animal,30.5 meters,"9,000 tons",Yellow,Black,King Kong,"the 8th Wonder of the World, King of Skull Island",Skull Island,King Kong (1933),,good
390,King Shark,50,88,50,90,86,40,Male,Animal,0 cm,0 kg,Black,No Hair,Nanaue,-,-,Superboy Vol 4 #0,DC Comics,bad
391,Kingpin,75,18,25,40,13,70,Male,Human,201 cm,203 kg,Blue,No Hair,Wilson Grant Fisk,"The Brain Washer, Harold Howard, Wilbur",New York City area,"Amazing Spider-Man #50 (July, 1967)",Marvel Comics,bad
392,Klaw,63,38,33,100,62,60,Male,Human,188 cm,97 kg,Red,No Hair,Ulysses Klaw,-,"Vlaardingen, Netherlands","Fantastic Four #53 (August, 1966)",Marvel Comics,bad
393,Kool-Aid Man,25,18,8,10,9,14,Male,null,0 cm,0 kg,Black,No Hair,,Pitcher Man,-,As Pitcher-Man in 1954,null,good
394,Kraven II,50,34,23,28,43,85,Male,Human,191 cm,99 kg,Brown,Black,Alyosha Kravinoff,-,-,Spectacular Spider-Man #243 (1997),Marvel Comics,bad
